system,property,study,viewport,run,egress,geo,outcome,reason,clicks,handoffs,fields,latencySec,interruptions,autocomplete,accelerated,pageCount,measuredLfi,scoredLfi,completionPct,durationSec,commit,ts
"plekify","Plekify · Singita","B","desktop","1","residential","ZA","errored","did-not-reach-payment","0","0","0","0.9","1","false","false","0","11.33","67.4","0","18.7","3d81d1f","2026-07-02T09:50:55.090Z"
"plekify","Plekify · Simbavati Hilltop","B","desktop","1","residential","ZA","reached-payment","ok","4","0","22","1.3","0","true","true","2","10.9","10.9","29.5","19","7337a97","2026-07-02T10:52:44.274Z"
"plekify","Plekify · Simbavati Hilltop","B","desktop","2","residential","ZA","reached-payment","ok","4","0","22","1.27","0","true","true","2","10.9","10.9","29.5","18.8","7337a97","2026-07-02T10:53:05.648Z"
"plekify","Plekify · Hemingways Watamu","B","desktop","1","residential","ZA","reached-payment","ok","4","0","22","1.34","0","true","true","2","10.9","10.9","29.5","19.3","7337a97","2026-07-02T10:53:27.524Z"
"plekify","Plekify · Hemingways Watamu","B","desktop","2","residential","ZA","reached-payment","ok","4","0","22","1.01","0","true","true","2","10.9","10.9","29.5","18.1","7337a97","2026-07-02T10:53:48.218Z"
"plekify","Plekify · Zannier Omaanda","B","desktop","1","residential","ZA","reached-payment","ok","4","0","22","1.8","0","true","true","2","10.9","10.9","29.5","19.2","7337a97","2026-07-02T10:54:09.929Z"
"plekify","Plekify · Zannier Omaanda","B","desktop","2","residential","ZA","reached-payment","ok","4","0","22","1.64","0","true","true","2","10.9","10.9","29.5","19.3","7337a97","2026-07-02T10:54:31.808Z"
"nightsbridge","Atlantic View","B","desktop","1","residential","ZA","reached-payment","ok","6","0","16","2.6","0","false","false","1","15","15","17.3","16.1","a1b77a9","2026-07-02T12:04:20.054Z"
"nightsbridge","Atlantic View","B","desktop","2","residential","ZA","reached-payment","ok","6","0","16","2.28","0","false","false","1","15","15","17.3","15.8","a1b77a9","2026-07-02T12:04:38.271Z"
"nightsbridge","Thali Thali","B","desktop","1","residential","ZA","reached-payment","ok","6","0","18","3.88","0","false","false","1","17","17","15.7","17.3","a1b77a9","2026-07-02T12:04:58.035Z"
"nightsbridge","Thali Thali","B","desktop","2","residential","ZA","reached-payment","ok","6","0","18","2.98","0","false","false","1","17","17","15.7","16.4","a1b77a9","2026-07-02T12:05:16.904Z"
"nightsbridge","Lairds Lodge","B","desktop","1","residential","ZA","reached-payment","ok","6","0","15","2.63","0","false","false","1","14","14","18.1","16.1","a1b77a9","2026-07-02T12:05:35.478Z"
"nightsbridge","Lairds Lodge","B","desktop","2","residential","ZA","reached-payment","ok","6","0","15","1.99","0","false","false","1","14","14","18.1","15.4","a1b77a9","2026-07-02T12:05:53.257Z"
"nightsbridge","Atlantic View","B","desktop","1","residential","ZA","errored","did-not-reach-payment","2","0","0","5.3","0","false","false","0","2","16.4","0","40.7","a1b77a9","2026-07-02T12:09:40.533Z"
"nightsbridge","Atlantic View","B","desktop","1","residential","ZA","redirected-off-domain","payment-on-third-party-domain","7","1","16","3.85","0","false","false","1","22.6","22.6","10.6","18.5","a1b77a9","2026-07-02T12:10:53.881Z"
