pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
profitroom,The Three,A,mobile,3,TRUE,,,6.5,0,1,3,0,18203,18.2,1,False,False,False,True,True
nightsbridge,Thali Thali,A,desktop,3,TRUE,,,14.0,8,1,2,0,35287,35.3,1,False,False,False,True,True
siteminder,Beach Waikiki Hostel,B,desktop,2,TRUE,,,14.0,3,1,3,9,28594,28.6,0,False,False,False,True,True
cloudbeds,Sea Esta Komodo,A,mobile,2,FALSE,No availability found after 10 attempts,study_a,1.5,1,0,1,0,618996,619.0,10,False,False,False,True,True
profitroom,Apukka Resort,A,desktop,3,TRUE,,,7.0,0,1,4,0,17706,17.7,1,False,False,False,True,True
nightsbridge,Lairds Lodge,B,mobile,1,TRUE,,,15.0,9,1,2,0,37527,37.5,0,False,False,False,True,True
plekify,Singita,B,desktop,3,TRUE,,,9.0,4,0,2,8,26816,26.8,0,False,False,False,True,True
siteminder,Beach Waikiki Hostel,B,mobile,1,TRUE,,,14.0,3,1,3,9,26937,26.9,0,False,False,False,True,True
cloudbeds,Sea Esta Komodo,B,desktop,2,TRUE,,,0.0,3,0,4,0,78679,78.7,0,False,True,False,True,True
siteminder,Ivy City Hotel,A,desktop,3,TRUE,,,6.0,0,1,2,0,14699,14.7,1,False,False,False,True,True
profitroom,Brahman Hills,A,desktop,2,TRUE,,,6.5,0,1,3,0,21636,21.6,1,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,A,mobile,3,FALSE,No availability found,study_a,2.5,2,0,1,0,126496,126.5,10,False,False,False,True,True
nightsbridge,Lairds Lodge,B,desktop,1,TRUE,,,16.0,10,1,2,0,39016,39.0,0,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,A,desktop,3,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,11749,11.7,0,False,False,False,True,True
cloudbeds,Fatwave Surf,A,desktop,1,TRUE,,,9.5,3,1,3,0,44813,44.8,1,False,False,False,True,True
cloudbeds,Fatwave Surf,B,mobile,3,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,1,3,0,6697,6.7,0,False,False,False,True,True
profitroom,The Three,B,mobile,3,TRUE,,,7.5,1,1,3,0,124021,124.0,0,False,False,False,True,True
cloudbeds,Fatwave Surf,A,mobile,2,FALSE,No availability found after 10 attempts,study_a,7.0,1,1,2,0,8999,9.0,10,False,False,False,True,True
profitroom,Hotel Haffner,B,mobile,1,TRUE,,,7.5,1,1,3,0,124594,124.6,0,False,False,False,True,True
